cn	en	alt	pos	note	source	lock
表面镀银的铜/合金	Silver-plated copper/alloys				glossary-20260130	0
转换触头（电抗式）	transfer contact				glossary-20260130	0
防止越级的保护装置	over-riding protection				glossary-20260130	0
高压检测和诊断系统	high-voltage testing and diagnostic system				glossary-20260130	0
齿轮盒座（变压器）	gearbox bracket (transformer)				glossary-20260130	0
Q:回油连接弯管	Q: Pipe connection for oil return				glossary-20260130	0
Q：回油连接弯管	Q: Pipe connection for oil return				glossary-20260130	0
S:抽油连接弯管	S: Pipe connection for suction pipe				glossary-20260130	0
S：抽油连接弯管	S: Pipe connection for suction pipe				glossary-20260130	0
全波雷电冲击试验	full-wave lightning impulse test (LI)				glossary-20260130	0
分接开关驱动装置	motor drive unit (MDU)	regulator drive		Nameplate field.	os-lock	1
对周围介质的温升	temperature rise above the surrounding liquid				glossary-20260130	0
布赫霍尔茨继电器	Buchholz relay				os-lock	1
机械传动机构护板	Drive mechanism cover		名词		glossary-20260130	0
机械端位止动装置	mechanical end stop				glossary-20260130	0
环氧树脂玻璃纤维	epoxy fiberglass				glossary-20260130	0
钟罩式变压器箱盖	bell tank cover				glossary-20260130	0
集成板/集成电路	integrated circuit(PCB board)				glossary-20260130	0
Q - 注油管接头	Pipe connection Q				glossary-20260130	0
S - 抽油管接头	Pipe connection S				glossary-20260130	0
不受天气影响的	weatherproof				glossary-20260130	0
分接位置指示器	tap position indicator				glossary-20260130	0
分接开关位置数	Operation position number				glossary-20260130	0
反向转换选择器	reversing change-over selector				glossary-20260130	0
固有分接位置数	number of inherent tap positions				glossary-20260130	0
工作分接位置数	number of service tap positions				glossary-20260130	0
指示区域观察窗	Viewing window for indication area		名词		glossary-20260130	0
无励磁分接开关	de-energized tap-changer	off-circuit tap-changer (OCTC)		Same family as 无载分接开关.	os-lock	1
槽轮/日内瓦轮	Geneva wheel				glossary-20260130	0
突发压力继电器	Rapid pressure rise relay				glossary-20260130	0
联轴器/联轴节	coupling				glossary-20260130	0
转换选择器位置	Change-over selector position				glossary-20260130	0
转换选择器端子	Change-over selector terminal				glossary-20260130	0
过电流自闭接点	overcurrent self-resetting contact				glossary-20260130	0
过电流闭锁装置	overcurrent blocking device				glossary-20260130	0
选择触头单数层	odd-numbered contact layer of the tap selector				os-lock	1
选择触头双数层	even-numbered contact layer of the tap selector				os-lock	1
中性点引出排	Current take off terminal				glossary-20260130	0
分接变化指示	tap-change in progress indication				glossary-20260130	0
分接开关位置	Tap changer position				glossary-20260130	0
分接开关头部	OLTC head				glossary-20260130	0
分接指示位置	Display position				glossary-20260130	0
切换开关芯子	diverter switch insert				os-lock	1
切换脉冲试验	switching impulse test (SI)				glossary-20260130	0
压力释放装置	pressure relief device				glossary-20260130	0
外施耐压试验	applied voltage test				glossary-20260130	0
头部安装法兰	Mounting flange				glossary-20260130	0
就地控制开关	Local control switch		名词		glossary-20260130	0
工作负载试验	service duty test				glossary-20260130	0
开断容量试验	breaking capacity test				glossary-20260130	0
引出触头端子	Current take-off terminal				glossary-20260130	0
截波冲击试验	chopped-wave lightning impulse (LIC)				glossary-20260130	0
控制选择开关	Control selector switch		名词		glossary-20260130	0
无载分接开关	off-circuit tap-changer	de-energized tap-changer (DETC); OCTC		Commercial English on Huaming OCTC papers: DE-ENERGIZED TAP CHANGER.	os-lock	1
有载分接开关	On-Load Tap-Changer (OLTC)				glossary-20260130	0
有载开关保护	OLTC protective relay			Not a generic protective device.	os-lock	1
有载开关顶盖	OLTC head cover			Not diverter switch top cover.	os-lock	1
机械寿命试验	mechanical endurance test				glossary-20260130	0
机械限位装置	Mechanical limit device		名词		glossary-20260130	0
板式电位电阻	board-type tie-in resistor				glossary-20260130	0
电气控制元件	Electrical control components		名词		glossary-20260130	0
电气限位开关	Electrical limit switch		名词		glossary-20260130	0
电流引出端子	Current take-off terminal				glossary-20260130	0
电流输出端子	Current take-off terminal				glossary-20260130	0
电流输出触头	current led-out/take-off contact				glossary-20260130	0
电磁式计数器	electromagnetic counter				glossary-20260130	0
短路电流测试	short-circuit current test				glossary-20260130	0
箱顶式变压器	top-mounted transformer (standard transformer)		名词		glossary-20260130	0
精密溶模铸法	precision investment casting				glossary-20260130	0
紧急脱扣装置	emergency tripping device				glossary-20260130	0
综合试验电路	Synthetic test circuit				glossary-20260130	0
触头温升测试	temperature rise of contacts				glossary-20260130	0
过渡阻抗测试	transition impedance test				glossary-20260130	0
选择开关位置	change-over selector position	Selector switch position			glossary-20260130	0
选择开关端子	Selector switch terminal				glossary-20260130	0
钟罩式变压器	bell-type transformer				glossary-20260130	0
预计开断电流	prospective current				glossary-20260130	0
P向/D 向	P view/D view				glossary-20260130	0
不同电压数	Different voltage number				glossary-20260130	0
中性点端子	Neutral point terminal				glossary-20260130	0
中间支撑盒	intermediate support	intermediate gear box			glossary-20260130	0
主通断触头	main switching contact				glossary-20260130	0
保护继电器	protective relay	OLTC protective relay		ZXJY-class device on the OLTC head.	os-lock	1
减速齿轮箱	ratio reduction gearbox				glossary-20260130	0
出油口法兰	oil outlet flange				glossary-20260130	0
分接选择器	tap selector				glossary-20260130	0
动触头系统	moving contact structure				glossary-20260130	0
压力释放阀	pressure relief valve				glossary-20260130	0
变压器油箱	transformer tank			Do not match 变压器油 inside this span.	os-lock	1
变压器绕组	Transformer winding		名词		glossary-20260130	0
变压器编号	Transformer s/n				semantic-glossary	0
可活动范围	Operating Range				glossary-20260130	0
垂直传动轴	vertical driving shaft				os-lock	1
垂直防护罩	vertical guard				glossary-20260130	0
夹片式触头	clamping				glossary-20260130	0
密封性测试	tightness test				glossary-20260130	0
工作位置数	Operation position number				glossary-20260130	0
开关合同号	Contract No.				semantic-glossary	0
异步电动机	induction/asynchronous motor				glossary-20260130	0
扭矩/扭力	torque				glossary-20260130	0
整流变压器	rectification transformer				glossary-20260130	0
更改文件号	Changes file number				glossary-20260130	0
最大最小间	Between start and end of a tap				semantic-glossary	0
档位显示牌	position indicator dial		名词		glossary-20260130	0
